#device=ESP32+AD8232
#cols=t_ms,adc,lead_off
514802,179,0
514806,113,0
514810,18,0
514814,283,0
514818,559,0
514822,459,0
514826,225,0
514830,322,0
514834,518,0
514838,400,0
514842,117,0
514846,133,0
514850,355,0
514854,311,0
514858,35,0
514862,34,0
514866,245,0
514870,252,0
514874,0,0
514878,0,0
514882,94,0
514886,121,0
514890,0,0
514894,0,0
514898,45,0
514902,132,0
514906,0,0
514910,0,0
514914,31,0
514918,195,0
514922,82,0
514926,0,0
514930,53,0
514934,239,0
514938,199,0
514942,0,0
514946,49,0
514950,257,0
514954,258,0
514958,0,0
514962,21,0
514966,216,0
514970,242,0
514974,0,0
514978,0,0
514982,81,0
514986,78,0
514990,0,0
514994,0,0
514998,0,0
515002,23,0
515006,0,0
515010,0,0
515014,0,0
515018,0,0
515022,0,0
515026,0,0
515030,0,0
515034,0,0
515038,0,0
515042,0,0
515046,0,0
515050,0,0
515054,0,0
515058,0,0
515062,0,0
515066,0,0
515070,0,0
515074,0,0
515078,0,0
515082,0,0
515086,0,0
515090,0,0
515094,0,0
515098,0,0
515102,0,0
515106,0,0
515110,0,0
515114,0,0
515118,184,0
515122,0,0
515126,0,0
515130,0,0
515134,105,0
515138,0,0
515142,0,0
515146,0,0
515150,128,0
515154,107,0
515158,0,0
515162,0,0
515166,194,0
515170,249,0
515174,8,0
515178,0,0
515182,200,0
515186,282,0
515190,106,0
515194,6,0
515198,197,0
515202,321,0
515206,137,0
515210,0,0
515214,86,0
515218,248,0
515222,80,0
515226,0,0
515230,23,0
515234,200,0
515238,100,0
515242,0,0
515246,0,0
515250,168,0
515254,115,0
515258,0,0
515262,0,0
515266,175,0
515270,229,0
515274,0,0
515278,0,0
515282,113,0
515286,163,0
515290,0,0
515294,0,0
515298,62,0
515302,163,0
515306,1,0
515310,0,0
515314,12,0
515318,157,0
515322,26,0
515326,0,0
515330,0,0
515334,139,0
515338,65,0
515342,0,0
515346,0,0
515350,137,0
515354,144,0
515358,0,0
515362,4,0
515366,140,0
515370,120,0
515374,0,0
515378,0,0
515382,74,0
515386,118,0
515390,0,0
515394,0,0
515398,35,0
515402,104,0
515406,0,0
515410,0,0
515414,11,0
515418,109,0
515422,0,0
515426,0,0
515430,0,0
515434,109,0
515438,0,0
515442,0,0
515446,0,0
515450,65,0
515454,11,0
515458,0,0
515462,0,0
515466,0,0
515470,0,0
515474,0,0
515478,0,0
515482,0,0
515486,6,0
515490,0,0
515494,0,0
515498,0,0
515502,38,0
515506,0,0
515510,0,0
515514,0,0
515518,40,0
515522,0,0
515526,0,0
515530,0,0
515534,21,0
515538,0,0
515542,0,0
515546,0,0
515550,142,0
515554,122,0
515558,0,0
515562,0,0
515566,167,0
515570,201,0
515574,0,0
515578,0,0
515582,66,0
515586,84,0
515590,0,0
515594,0,0
515598,20,0
515602,119,0
515606,0,0
515610,0,0
515614,51,0
515618,216,0
515622,92,0
515626,0,0
515630,61,0
515634,270,0
515638,149,0
515642,0,0
515646,0,0
515650,197,0
515654,147,0
515658,0,0
515662,0,0
515666,166,0
515670,152,0
515674,0,0
515678,0,0
515682,78,0
515686,121,0
515690,0,0
515694,0,0
515698,15,0
515702,106,0
515706,0,0
515710,0,0
515714,6,0
515718,127,0
515722,0,0
515726,0,0
515730,0,0
515734,109,0
515738,1,0
515742,0,0
515746,0,0
515750,98,0
515754,40,0
515758,0,0
515762,0,0
515766,73,0
515770,59,0
515774,0,0
515778,0,0
515782,43,0
515786,62,0
515790,0,0
515794,0,0
515798,7,0
515802,27,0
515806,0,0
515810,0,0
515814,2,0
515818,45,0
515822,0,0
515826,0,0
515830,0,0
515834,46,0
515838,0,0
515842,0,0
515846,0,0
515850,40,0
515854,0,0
515858,0,0
515862,0,0
515866,62,0
515870,55,0
515874,0,0
515878,0,0
515882,36,0
515886,82,0
515890,0,0
515894,0,0
515898,23,0
515902,97,0
515906,0,0
515910,0,0
515914,7,0
515918,115,0
515922,0,0
515926,0,0
515930,0,0
515934,90,0
515938,0,0
515942,0,0
515946,0,0
515950,73,0
515954,23,0
515958,0,0
515962,0,0
515966,56,0
515970,47,0
515974,0,0
515978,0,0
515982,3,0
515986,0,0
515990,0,0
515994,0,0
515998,0,0
516002,0,0
516006,0,0
516010,0,0
516014,0,0
516018,0,0
516022,0,0
516026,0,0
516030,0,0
516034,0,0
516038,0,0
516042,0,0
516046,0,0
516050,25,0
516054,0,0
516058,0,0
516062,0,0
516066,90,0
516070,148,0
516074,0,0
516078,0,0
516082,100,0
516086,136,0
516090,0,0
516094,0,0
516098,24,0
516102,110,0
516106,0,0
516110,0,0
516114,2,0
516118,101,0
516122,0,0
516126,0,0
516130,2,0
516134,126,0
516138,4,0
516142,0,0
516146,0,0
516150,138,0
516154,45,0
516158,0,0
516162,0,0
516166,131,0
516170,96,0
516174,0,0
516178,0,0
516182,111,0
516186,121,0
516190,0,0
516194,0,0
516198,59,0
516202,99,0
516206,0,0
516210,0,0
516214,19,0
516218,98,0
516222,0,0
516226,0,0
516230,0,0
516234,107,0
516238,0,0
516242,0,0
516246,0,0
516250,89,0
516254,1,0
516258,0,0
516262,0,0
516266,118,0
516270,87,0
516274,0,0
516278,0,0
516282,118,0
516286,129,0
516290,0,0
516294,0,0
516298,83,0
516302,166,0
516306,0,0
516310,0,0
516314,77,0
516318,240,0
516322,46,0
516326,0,0
516330,70,0
516334,240,0
516338,52,0
516342,0,0
516346,6,0
516350,180,0
516354,125,0
516358,0,0
516362,0,0
516366,135,0
516370,179,0
516374,0,0
516378,0,0
516382,29,0
516386,12,0
516390,0,0
516394,0,0
516398,3,0
516402,63,0
516406,0,0
516410,0,0
516414,1,0
516418,92,0
516422,0,0
516426,0,0
516430,25,0
516434,199,0
516438,29,0
516442,0,0
516446,0,0
516450,224,0
516454,141,0
516458,0,0
516462,0,0
516466,90,0
516470,55,0
516474,0,0
516478,0,0
516482,80,0
516486,103,0
516490,0,0
516494,0,0
516498,34,0
516502,100,0
516506,0,0
516510,0,0
516514,0,0
516518,105,0
516522,0,0
516526,0,0
516530,0,0
516534,103,0
516538,0,0
516542,0,0
516546,0,0
516550,0,0
516554,0,0
516558,0,0
516562,0,0
516566,57,0
516570,7,0
516574,0,0
516578,0,0
516582,38,0
516586,69,0
516590,0,0
516594,0,0
516598,71,0
516602,131,0
516606,0,0
516610,0,0
516614,43,0
516618,162,0
516622,0,0
516626,0,0
516630,0,0
516634,60,0
516638,0,0
516642,0,0
516646,0,0
516650,0,0
516654,0,0
516658,0,0
516662,0,0
516666,39,0
516670,135,0
516674,0,0
516678,0,0
516682,67,0
516686,79,0
516690,0,0
516694,0,0
516698,19,0
516702,51,0
516706,0,0
516710,0,0
516714,2,0
516718,100,0
516722,0,0
516726,0,0
516730,7,0
516734,129,0
516738,0,0
516742,0,0
516746,0,0
516750,111,0
516754,28,0
516758,0,0
516762,0,0
516766,140,0
516770,172,0
516774,17,0
516778,0,0
516782,145,0
516786,205,0
516790,0,0
516794,0,0
516798,209,0
516802,350,0
516806,126,0
516810,13,0
516814,228,0
516818,451,0
516822,329,0
516826,127,0
516830,293,0
516834,494,0
516838,393,0
516842,204,0
